#{"t_start": 1769276684.8074276, "env_id": "None"}
r,l,t
-451.84623,261,43.350968
-425.774523,278,43.468803
-810.342291,500,43.655215
-59.584154,37,43.668437
-239.321469,182,43.743852
-59.243589,38,43.760116
-31.231705,27,43.770504
-212.396722,140,43.823019
-286.139351,185,43.894002
-319.207421,181,43.962476
-691.214445,500,44.873459
-77.779691,41,44.889979
-644.95608,444,45.088575
-785.200133,500,45.280912
-31.631776,27,45.29187
-170.731844,139,45.351539
-81.443933,51,45.375902
-40.204186,27,45.387957
-30.278452,25,45.398756
-30.197109,18,45.406741
-159.334598,110,45.451724
-863.687896,500,45.64563
-126.519483,100,46.45854
-44.197469,33,46.474944
-344.174444,249,46.613575
-145.090765,104,46.660144
-655.1634,412,46.825844
-94.252294,66,46.862214
-92.207574,67,46.89888
-77.832764,56,46.925069
-101.614351,73,46.953088
-133.755049,87,46.985903
-249.459838,163,47.052447
-355.764121,268,47.157337
-86.233611,63,47.180474
-71.202297,49,47.198496
-164.328217,82,47.230742
-31.655458,25,47.240233
-254.451718,181,47.306481
-588.397475,376,48.288377
-73.134485,43,48.3092
-496.449172,297,48.431752
-731.550412,500,48.618772
-235.653804,168,48.686142
-332.923806,200,48.764508
-165.468717,115,48.804281
-287.217853,176,48.869455
-387.945297,258,49.702931
-767.94225,500,49.915783
-86.150105,62,49.938489
-111.134002,65,49.964165
-368.814146,273,50.067451
-100.75501,72,50.095029
-136.1966,112,50.137284
-526.337249,404,50.294259
-183.862079,126,50.339823
-63.056559,54,50.360774
-51.165115,41,50.376328
-193.846889,169,50.438361
-830.399682,500,51.361669
-651.544464,500,51.555055
-787.750589,500,51.744295
-194.099423,138,51.797627
-571.153052,354,51.928603
-720.105908,500,52.828103
-189.309131,116,52.877889
-111.118047,83,52.914837
-107.882009,68,52.940912
-288.456949,168,53.005996
-413.811768,289,53.124794
-40.999287,37,53.139628
-840.812712,500,53.333334
-65.454616,54,53.353686
-24.398447,24,53.362746
-294.77629,201,53.439164
-319.655433,207,54.272731
-42.221249,20,54.28265
-123.04935,86,54.324334
-68.309757,48,54.347784
-46.428369,30,54.361396
-86.295025,55,54.383226
-784.854138,500,54.57598
-283.605943,196,54.652
-717.369489,500,54.844354
-239.02788,168,54.9035
-44.137139,38,54.917036
-247.820039,158,54.974818
-257.863604,177,55.038875
-426.309852,276,55.822079
-845.349146,500,56.019399
-232.248346,147,56.073222
-141.778081,95,56.107766
-32.718195,16,56.113476
-825.013151,500,56.294201
-345.72515,231,56.379315
-201.96985,136,56.427551
-65.939,47,56.444249
-160.87305,130,56.491452
-230.111661,157,57.202392
-98.805628,71,57.22933
-58.978488,53,57.24982
-198.532295,131,57.300537
-269.062401,201,57.377307
-216.126702,175,57.439647
-224.974592,162,57.499072
-702.923232,500,57.678617
-106.32317,67,57.703951
-735.668936,500,57.883305
-665.831173,447,58.71146
-692.112882,500,58.893961
-40.176196,31,58.905329
-39.515957,25,58.9145
-655.268894,500,59.092714
-211.819888,192,59.162384
-235.397113,161,59.224101
-738.127625,500,60.107045
-370.487145,263,60.209376
-118.001264,93,60.245775
-45.104204,32,60.257418
-618.370059,500,60.444887
-580.778946,440,60.607172
-112.549546,78,60.637733
-447.009586,320,60.754867
-46.970334,28,60.764907
-140.07548,111,61.455898
-235.74149,200,61.532071
-127.738861,91,61.573824
-219.784606,175,61.646835
-296.629808,245,61.739258
-87.830123,58,61.760892
-748.234865,500,61.956594
-79.532871,52,61.976312
-358.631334,301,62.089568
-50.559797,50,62.108267
-170.77376,133,62.159783
-242.449245,173,62.920026
-24.067851,20,62.928383
-274.307343,200,63.011717
-209.950221,155,63.085192
-105.031133,67,63.115487
-240.016392,154,63.175364
-77.339237,59,63.197706
-79.826606,47,63.214898
-121.347666,99,63.251041
-661.317277,500,63.438682
-446.942205,284,63.548467
-374.951355,265,63.6593
-51.723107,31,63.673284
-168.649297,144,63.736644
-309.86266,236,64.508207
-163.376398,118,64.552277
-320.663069,240,64.643809
-274.927488,233,64.727579
-695.192359,500,64.921242
-308.147082,217,65.001518
-429.415012,354,65.133469
-626.115409,460,66.026253
-683.396671,500,66.225178
-53.845398,35,66.238741
-116.297072,77,66.267524
-656.573489,500,66.453614
-158.538494,111,66.495706
-272.758681,192,66.579807
-65.388928,56,66.600722
-34.928349,25,66.610056
-26.616664,25,66.621281
-95.403343,63,66.645518
-615.296394,500,67.565325
-187.40696,136,67.616285
-39.842797,34,67.629059
-130.369453,104,67.670103
-16.999236,15,67.675805
-34.490514,29,67.686428
-40.142182,29,67.697104
-723.64169,500,67.884742
-175.707377,122,67.93077
-208.568813,174,68.000322
-74.938135,47,68.019106
-738.312725,500,68.213407
-343.414971,274,69.035513
-36.337617,30,69.047082
-622.972164,500,69.234834
-644.993531,500,69.418417
-360.348312,249,69.508641
-23.211,19,69.515881
-27.221365,21,69.523756
-49.673327,40,69.538447
-193.104124,158,69.597045
-486.47461,397,70.484981
-20.03626,16,70.493041
-683.212267,500,70.682142
-63.334387,60,70.706274
-81.690837,69,70.730912
-44.182177,35,70.743396
-25.44031,25,70.752333
-625.976687,500,70.937314
-165.298663,133,70.999126
-325.241382,270,71.106395
-640.694915,500,72.004156
-147.780452,115,72.059855
-69.624203,53,72.07995
-79.171326,60,72.103058
-617.778815,500,72.288353
-654.661993,500,72.469082
-142.253276,138,72.518492
-38.317604,33,72.532948
-626.795804,500,73.38274
-616.397207,500,73.588015
-146.663426,117,73.630798
-53.316356,52,73.651069
-526.990306,500,73.838321
-72.932356,46,73.857649
-680.08172,491,74.038262
-233.104718,176,74.105304
-24.353892,21,74.113117
-496.517926,438,74.963037
-38.952836,38,74.980274
-665.416747,489,75.171062
-179.730132,157,75.230806
-236.693254,178,75.298079
-419.034334,321,75.416843
-139.241756,110,75.457046
-427.073078,344,75.590644
-131.63478,119,76.41149
-629.52259,500,76.666108
-589.129116,500,76.880412
-98.409049,66,76.908757
-167.579339,136,76.9621
-324.774208,225,77.04937
-130.286714,96,77.085196
-42.071565,31,77.09682
-544.543289,500,78.128045
-434.361288,373,78.282548
-38.944812,40,78.298736
-239.564623,207,78.383363
-136.959327,112,78.429185
-531.560158,500,78.627652
-283.266013,230,78.716177
-62.760177,58,78.741959
-113.59015,87,78.774732
-429.52675,346,78.904795
-155.27555,138,79.686752
-586.393701,500,79.908285
-37.954797,37,79.922461
-58.286034,52,79.942741
-119.656173,119,79.995845
-56.181148,54,80.017357
-115.911969,99,80.056141
-96.665787,102,80.099083
-30.204264,31,80.111494
-43.351237,34,80.124818
-315.479732,237,80.227971
-513.831392,419,80.390366
-27.712451,21,80.39911
-112.541953,110,80.438395
-204.914654,186,81.183885
-511.648986,500,81.409124
-37.260336,25,81.418959
-72.653471,55,81.440344
-339.490748,347,81.5786
-596.197547,500,81.769854
-140.73429,115,81.816974
-189.719071,151,81.874231
-38.925595,40,81.888872
-228.367419,203,81.973125
-107.798735,92,82.766886
-29.912829,26,82.777839
-109.57334,90,82.818134
-598.727444,500,83.024183
-33.248387,30,83.035933
-523.861554,500,83.228671
-500.263586,500,83.424897
-110.857982,94,83.465411
-269.620353,253,83.584544
-458.881437,500,84.48565
-624.412302,500,84.670462
-58.406427,41,84.685299
-100.510245,91,84.71752
-33.784841,27,84.727103
-286.668522,256,84.820226
-62.274443,43,84.83549
-204.765922,194,84.906942
-27.399724,20,84.914186
-40.646105,30,84.924951
-165.907529,123,84.971872
-54.477422,56,84.992341
-243.635869,207,85.068284
-96.352941,85,85.902795
-144.485999,116,85.947627
-210.162708,229,86.038893
-589.954014,500,86.2288
-161.964458,133,86.286077
-343.11443,290,86.399042
-343.307769,327,86.522118
-98.212295,83,86.554132
-71.883341,66,86.581862
-216.362327,202,86.657879
-466.28093,500,87.570291
-375.47264,303,87.688046
-84.639559,74,87.720844
-174.88494,151,87.779255
-197.253308,207,87.862291
-236.773677,230,87.950651
-81.194543,63,87.974262
-697.617426,500,88.164884
-185.596363,175,88.975138
-92.40509,64,88.999897
-211.797056,228,89.091268
-324.523172,294,89.208009
-180.518579,195,89.284684
-358.505915,325,89.412055
-210.088428,206,89.494705
-148.599098,118,89.540905
-377.573237,348,89.673594
-295.028063,245,90.444587
-493.432767,500,90.65351
-164.463856,137,90.705327
-531.048853,500,90.886499
-90.219931,72,90.912195
-197.319374,174,90.975241
-141.397022,123,91.019855
-102.051114,100,91.056441
-102.091971,99,91.095657
-288.917504,269,91.92941
-141.216673,163,91.992956
-370.122576,391,92.142175
-93.539473,71,92.167376
-36.93974,35,92.179736
-62.67546,56,92.202251
-406.655142,322,92.318171
-83.900149,68,92.342311
-311.919356,280,92.442826
-608.052841,500,92.625515
-226.55225,262,93.397849
-515.343671,500,93.588349
-218.244484,175,93.65508
-542.594224,500,93.8373
-31.605733,30,93.848218
-50.340146,39,93.862116
-659.589258,500,94.041489
-79.467606,83,94.07186
-636.689388,500,94.904449
-85.654738,89,94.941807
-58.847539,71,94.968312
-590.126762,500,95.148784
-262.114126,246,95.237272
-313.170446,273,95.333987
-560.761561,500,96.175691
-177.922365,181,96.243309
-78.409254,69,96.270994
-133.991212,132,96.320854
-139.107998,121,96.368042
-44.550848,36,96.381051
-271.90725,259,96.473663
-31.834955,27,96.483439
-119.387752,134,96.530729
-454.674479,500,96.711822
-316.940075,327,96.829314
-465.303451,500,97.675658
-60.838236,71,97.703229
-284.746947,255,97.799963
-190.132898,184,97.865212
-93.245721,106,97.904978
-186.01885,157,97.960084
-391.883245,330,98.08044
-336.711937,338,98.203715
-80.309312,71,98.228759
-102.301201,101,98.264242
-513.380128,500,99.110504
-284.190381,299,99.222939
-23.655968,24,99.231677
-198.488337,194,99.301573
-142.49546,140,99.351878
-129.900267,137,99.402014
-130.818623,105,99.439972
-42.738601,33,99.45175
-27.881045,30,99.462343
-184.116212,150,99.518503
-634.370556,500,99.696899
-491.454164,500,100.531796
-306.271216,311,100.648253
-15.839333,18,100.654872
-61.950046,48,100.672082
-219.551612,214,100.74984
-106.831952,86,100.779944
-628.207831,500,100.959531
-106.4415,87,100.990402
-336.599774,364,101.120019
-190.19325,186,101.853573
-101.525091,77,101.883166
-56.456982,41,101.898548
-594.542199,500,102.084496
-291.094212,278,102.184913
-119.262173,122,102.227889
-48.050356,37,102.241015
-50.276833,32,102.252346
-115.346829,132,102.301204
-552.214145,500,102.481123
-36.016259,35,102.493978
-43.708935,47,102.51065
-88.530154,85,103.187443
-302.218648,298,103.305819
-207.648075,188,103.377035
-266.488907,271,103.470887
-95.345483,102,103.50912
-40.110067,37,103.522065
-28.712439,22,103.529815
-570.089208,500,103.709937
-29.534282,27,103.719676
-362.095506,385,103.856298
-432.39269,500,104.704817
-518.568666,500,104.890725
-496.09287,437,105.049523
-88.030399,80,105.077898
-528.303306,500,105.259287
-169.385556,184,105.326522
-59.5274,66,106.004612
-128.45783,128,106.05473
-35.737307,37,106.068686
-477.80374,500,106.270154
-132.626238,147,106.32377
-595.926938,500,106.502879
-176.733308,150,106.566639
-478.630449,500,106.74666
-48.852401,44,106.76251
-86.488484,98,107.446508
-37.759273,28,107.457211
-34.577869,36,107.470854
-140.312367,165,107.53483
-425.837796,500,107.719241
-32.968302,32,107.730794
-337.22524,299,107.837054
-670.686917,500,108.016403
-106.561406,119,108.060108
-153.948412,138,108.108577
-483.436027,500,109.030976
-132.074958,161,109.098265
-93.297063,92,109.131582
-94.249399,90,109.163783
-262.87379,287,109.266729
-289.969191,233,109.350876
-28.840547,26,109.360208
-437.487142,500,109.541387
